"","id","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school"
"127",-21,4,59,6.77966101694915,2011,"multi","prek-8","priv",NA,NA,NA,"BHAKTIVEDANTA"
"128",-2,86,183,46.9945355191257,2011,"multi","prek-5","priv",NA,15.7303370786517,NA,"BRENTWOOD SCHOOL"
"129",431,392,1982,19.7780020181635,2011,"high","high","pub","2",25.5972696245734,27.28,"BUCHHOLZ HIGH"
"130",953,41,176,23.2954545454545,2011,"elem","elem","priv",NA,87.1794871794872,94.3,"CARING & SHARING LEARNING"
"131",510,323,731,44.1860465116279,2011,"elem","elem","pub","2",21.5568862275449,34.83,"CHILES ELEM."
"132",-3,22,40,55,2011,"multi","k-12","priv",NA,57.1428571428571,NA,"CHRISTIAN LIFE ACADEMY"
"133",-4,35,149,23.489932885906,2011,"multi","prek-12","priv",NA,20.8333333333333,NA,"COUNTRYSIDE BAPTIST"
"134",21,168,287,58.5365853658537,2011,"elem","elem","pub","1",87.218045112782,96.6,"DUVAL ELEM."
"135",421,236,1299,18.1678214010778,2011,"high","high","pub","2",34.3661971830986,52.69,"EASTSIDE HIGH"
"136",955,33,106,31.1320754716981,2011,"multi","2-8","priv",NA,48.8888888888889,51.4,"EINSTEIN MONT"
"137",956,17,88,19.3181818181818,2011,"elem","elem","priv",NA,23.0769230769231,12.09,"EXPRESSIONS"
"138",-5,49,234,20.9401709401709,2011,"elem","elem","priv",NA,24.6913580246914,NA,"FIRST CHRISTIAN ACADEMY"
"139",-6,25,70,35.7142857142857,2011,"elem","elem","priv",NA,58.8235294117647,NA,"FOREST GROVE"
"140",481,376,876,42.9223744292237,2011,"mid","mid","pub","3",38.7951807228916,42.25,"FT. CLARKE MIDDLE"
"141",151,315,1764,17.8571428571429,2011,"high","high","pub","3",30.4932735426009,42.3,"GAINESVILLE HIGH"
"142",958,8,67,11.9402985074627,2011,"elem","elem","priv",NA,88.8888888888889,82.35,"GENESIS PREP."
"143",331,235,434,54.147465437788,2011,"elem","elem","pub","1",36.7892976588629,45.53,"GLEN SPRINGS ELEM."
"144",-7,132,225,58.6666666666667,2011,"prek","prek","priv",NA,9.52380952380952,NA,"G'VILLE COUNTRY DAY PRE-K 75TH"
"145",201,43,304,14.1447368421053,2011,"high","high","pub","3",75,79.53,"HAWTHORNE JR./SR. HIGH"
"146",981,38,70,54.2857142857143,2011,"elem","elem","priv",NA,15.3846153846154,26.14,"HEALTHY LEARNING"
"147",482,478,851,56.1692126909518,2011,"elem","elem","pub","3",20.4761904761905,29.5,"HIDDEN OAK ELEM."
"148",461,417,851,49.0011750881316,2011,"elem","elem","pub","3",32.6027397260274,39.86,"HIGH SPRINGS ELEM."
"149",971,16,110,14.5454545454545,2011,"mid","mid","priv",NA,57.5,79.82,"HOGGTOWN MIDDLE"
"150",412,15,86,17.4418604651163,2011,"high","high","pub","1",75,93.26,"HORIZON CENTER"
"151",121,224,673,33.2838038632987,2011,"mid","mid","pub","2",39.5161290322581,60.03,"HOWARD BISHOP MIDDLE"
"152",321,190,597,31.8257956448911,2011,"elem","elem","pub","3",73.5593220338983,83.18,"IDYLWILD ELEM."
"153",571,226,519,43.5452793834297,2011,"elem","elem","pub","2",59.5330739299611,65.35,"IRBY ELEM."
"154",31,254,470,54.0425531914894,2011,"elem","elem","pub","1",48.3333333333333,56.25,"JJ FINLEY ELEM."
"155",-9,57,115,49.5652173913044,2011,"multi","prek-8","priv",NA,5.08474576271186,NA,"JORDAN GLENN"
"156",502,345,916,37.6637554585153,2011,"mid","mid","pub","4",35.8536585365854,45.6,"KANAPAHA MIDDLE"
"157",71,129,352,36.6477272727273,2011,"elem","elem","pub","4",88.4615384615385,96,"LAKE FOREST ELEM."
"158",112,231,684,33.7719298245614,2011,"mid","mid","pub","2",35.2941176470588,53.76,"LINCOLN MIDDLE"
"159",91,288,707,40.7355021216407,2011,"elem","elem","pub","3",78.8461538461538,59.55,"LITTLEWOOD ELEM."
"160",411,43,240,17.9166666666667,2011,"high","high","pub","1",39.6551724137931,65.32,"LOFTEN HIGH"
"161",221,132,422,31.2796208530806,2011,"mid","mid","pub","4",51.7730496453901,62.67,"MEBANE MIDDLE"
"162",101,136,473,28.7526427061311,2011,"elem","elem","pub","4",80.5970149253731,94.84,"METCALFE ELEM."
"163",951,85,124,68.5483870967742,2011,"elem","elem","priv",NA,54.6666666666667,NA,"MICANOPY AREA CO-OP"
"164",961,10,64,15.625,2011,"mid","mid","priv",NA,55.5555555555556,65.57,"MICANOPY MIDDLE SCHOOL"
"165",-10,69,226,30.5309734513274,2011,"multi","prek-8","priv",NA,3.15789473684211,NA,"MILLHOPPER MONTESSORI"
"166",531,295,511,57.7299412915851,2011,"elem","elem","pub","3",51.2345679012346,54.75,"NEWBERRY ELEM."
"167",261,122,568,21.4788732394366,2011,"high","high","pub","3",42.2885572139303,44.25,"NEWBERRY HIGH"
"168",541,293,615,47.6422764227642,2011,"elem","elem","pub","2",48.695652173913,57.25,"NORTON ELEM."
"169",-11,397,823,48.2381530984204,2011,"high","high","priv",NA,10.1809954751131,NA,"OAK HALL"
"170",591,263,635,41.4173228346457,2011,"mid","mid","pub","1",36.3372093023256,44.71,"OAKVIEW MIDDLE"
"171",950,52,161,32.2981366459627,2011,"elem","elem","priv",NA,63.6363636363636,71.15,"ONE ROOM SCHOOL HOUSE"
"172",391,104,1146,9.07504363001745,2011,"multi","k-12","pub",NA,20.2572347266881,NA,"PK YONGE"
"173",500,34,83,40.9638554216867,2011,"elem","elem","pub",NA,95.2380952380952,100,"PRAIRIE VIEW"
"174",341,145,365,39.7260273972603,2011,"elem","elem","pub","2",86.7647058823529,78.98,"RAWLINGS & FERNSIDE"
"175",271,90,1005,8.95522388059701,2011,"high","high","pub","1",36.2989323843416,25.67,"SANTE FE HIGH"
"176",281,94,205,45.8536585365854,2011,"elem","elem","pub",NA,75,57.92,"SHELL ELEM."
"177",-22,13,30,43.3333333333333,2011,"prek","prek","priv",NA,NA,NA,"SPENCER MONTESSORI"
"178",-14,70,241,29.045643153527,2011,"high","high","priv",NA,18.4210526315789,NA,"ST. FRANCIS HIGH SCHOOL"
"179",41,215,455,47.2527472527473,2011,"elem","elem","pub",NA,51.0548523206751,61.35,"STEPHEN FOSTER ELEM."
"180",-19,92,291,31.6151202749141,2011,"elem","elem","priv",NA,NA,NA,"SWEETWATER BRANCH"
"181",561,357,712,50.1404494382023,2011,"elem","elem","pub","2",21.9718309859155,31.99,"TALBOT ELEM."
"182",311,289,684,42.2514619883041,2011,"elem","elem","pub","2",78.3687943262411,85.21,"TERWILLIGER ELEM."
"183",-16,54,300,18,2011,"multi","prek-12","priv",NA,29.8969072164948,NA,"THE ROCK"
"184",291,91,214,42.5233644859813,2011,"elem","elem","pub","4",82.1782178217822,85.99,"WALDO ELEM."
