"","id","school","doses","totMem","immRate","year","type","gradeRange","pubPriv","frLunch13","percent_free_reduced_lunch"
"333",953,"Caring & Sharing Learning",25,140,0.1785714286,2014,"elem","elem","priv",94.3,94.3
"334",510,"Chiles Elem.",324,688,0.4709302326,2014,"elem","elem","pub",34.83,34.83
"335",-3,"Christian Life Academy",13,39,0.3333333333,2014,"multi","k-12","priv",NA,NA
"336",-4,"Countryside Baptist",74,173,0.4277456647,2014,"multi","prek-12","priv",NA,NA
"337",21,"Duval Elem.",111,310,0.3580645161,2014,"elem","elem","pub",96.6,96.6
"338",421,"Eastside High",402,1346,0.2986627043,2014,"high","high","pub",52.69,52.69
"339",955,"Einstein Mont",43,102,0.4215686275,2014,"multi","2-8","priv",51.4,51.4
"340",956,"Expressions",17,27,0.6296296296,2014,"elem","elem","priv",12.09,12.09
"341",-5,"First Christian Academy",87,242,0.3595041322,2014,"elem","elem","priv",NA,NA
"342",-6,"Forest Grove",7,28,0.25,2014,"elem","elem","priv",NA,NA
"343",481,"Ft. Clarke Middle",404,843,0.4792408066,2014,"mid","mid","pub",42.25,42.25
"344",151,"Gainesville High",513,1836,0.2794117647,2014,"high","high","pub",42.3,42.3
"345",958,"Genesis Prep.",12,69,0.1739130435,2014,"elem","elem","priv",82.35,82.35
"346",331,"Glen Springs Elem.",309,474,0.6518987342,2014,"elem","elem","pub",45.53,45.53
"347",-7,"G'ville Country Day Pre-K 75th",93,125,0.744,2014,"prek","prek","priv",NA,NA
"348",-8,"G'ville Country Day School 24th",18,75,0.24,2014,"prek","prek","priv",NA,NA
"349",201,"Hawthorne Jr./Sr. High",57,281,0.2028469751,2014,"high","high","pub",79.53,79.53
"350",981,"Healthy Learning",59,88,0.6704545455,2014,"elem","elem","priv",26.14,26.14
